record_id,name,wikidata_id,birth_year,birth_date_en,birth_date_fr,birth_place,death_year,death_date_en,death_date_fr,death_place,last_name,first_name,gender,father,mother,family_details,discipline,education,student_of,prize_year,prize_details,subject_of_prize,arrival_year,rome_arrival_details,rome_stay_details,departure_year,rome_departure_details,envoi,career,appointments,awards,notes,century,regime,supervision,secretary_beaux_arts,director_academy,salons_expositions,representative_works,bibliography
246,René Marie Castaing,Q3426599,1896,16 December 1896,16 décembre 1896,Pau (Pyrénées Atlantiques),1944,8 December 1944,8 décembre 1944,Tarbes (Hautes Pyrénées),CASTAING,René-Marie-Joseph,male,"Joseph Henri, peintre (1860-1918)",Rose-Marie Picamilh,Epouse : Marie d'Espalungue. Ils ont 8 enfants.,peinture,"Atelier de son père. Collège de l’Immaculée Conception, Pau, 1910-1912. | Engagé volontaire le 16 décembre 1914. | Académie Jullian, 1919. | École nationale des beaux-arts de Paris, 8 mai 1920-19 janvier 1921","Joseph Castaing, Pierre Laurens, Paul-Albert Laurens, William Laparra.",1924,1924,1- Le Faune musicien. | 2- Jésus chez Marthe et Marie. | 3- Au travail.,1925,Pension à dater du 1er janvier 1925,Marié. Son épouse séjourne à la Villa Médicis.,1928,30 avril 1928. | Il est autorisé à prolonger le séjour de trois mois. Il quitte la Villa le 8 août.,"1925, 1ère année | Pieta. | 1926, 2ème année. | Copie de l’Éducation de l’Amour du Titien. | Illustration pour l’Amour mouillé. | 1927, 3ème année. | Ecce Homo.",". Il crée avec le sculpteur Gabard, un groupe artistique à Pau en 1936. Décoration d’églises : la chapelle de l’École Jeanne d’Arc à Tarbes, 1934, portrait de Bernadette Soubirous et Saint-Benoît pour l’abbaye de Belloc, 1935. Il reçoit la commande de Monseigneur Gerlier pour décorer la salle du Pavillon des 3 B à Lourdes, en 1937. Il décore les églises de Borce, de Saint-Goin, de Salies-de-Béarn, 1937, d’Auch, 1938. Achat de l’État de la toile Le Christ rencontrant sa mère, 1939. Notre Dame du Bout du Pont à Jurançon, 1941.",,"Mention honorable, 1923, 1924. Médaille d’argent en 1929 et 1930. Médaille d’or en 1936. Hors-concours et prix Gabriel Ferrier en 1939. | Croix de guerre, décorations alliées (Médaille d’Orient, de Serbie et Interalliée).",,XX,"IIIème République. Président : Alexandre Millerand, 23 septembre 1920-11 juin 1924","Ministère de l’éducation nationale. Direction des beaux-arts : Paul Léon. 6ème bureau, sous-chef : Féron",Charles-Marie Widor (1915-1937).,"Denis Puech, (1921-1933). Villa Médicis.",Sociétaire du Salon des artistes français depuis 1913 puis secrétaire. Il participe au Salon des humoristes. Il participe au premier salon d’art catholique à Marseille en 1941.,"Portrait de Bernadette Soubirous et Saint-Benoît pour l’abbaye de Belloc, 1935.","Bénézit, Joseph. AJ 52 1143. | Roux-Dessarps, Annie. Essai de catalogue de l’œuvre de René-Marie Castaing. Mémoire de l’École du Louvre, 1989 sous la direction de Madame Lacambre et de Madame Arlette Sérullaz. | Roux-Dessarps, Annie, «René-Marie Castaing, un peintre d’histoire religieuse à l’exposition de 1935», Bulletin Société Histoire de l’art française, 1997. | Roux-Dessarps, Annie, Œuvres décoratives de René Marie Castaing, premier grand prix de Rome 1924 : pérégrinations d’un peintre du Sud-Ouest , Pau : Éd. Caim, DL 2006."
247,Jacques Castérède,Q326609,1926,10 April 1926,10 avril 1926,Paris,2014,6 April 2014,6 avril 2014,Dijon,CASTERÈDE,Jacques,male,Henri,Germaine Lalagüe,,composition musicale,"Études au lycée Buffon.Conservatoire national supérieur de musique, 1944.","Professeurs : Olivier Messiaen, (analyse), Tony Aubin, (composition), Armand Ferté, (piano). | Prix de piano, de musique de chambre, de composition et d’analyse musicale, de 1948-1953.",1953,1953,"""La boîte de Pandore""",1954,18 novembre 1954. Pension à dater du 1er octobre 1954,Il est marié sans autorisation en 1957.,1958,31 janvier 1958,"1955, 1ère année | Sonate pour piano et violon. | 1956, 2ème année. | Oratorio. Concerto pour piano et orchestre. | 1957, 3ème année. | Le Livre de Job. Oratorio en deux parties","Compositeur. Auteur de Théorie de la musique, Éd. G. Billaudot, Pais 1999.","Professeur de formation musicale pour les chanteurs du Conservatoire, 1960. Conseiller aux études, 1966. Professeur d’analyse, 1971. Professeur de composition ainsi qu’à l’École normale de musique de Paris de 1983 à 1988. Il enseigne l’analyse au Conservatoire supérieur de région, 1886-1887. Mission d’enseignement en Chine au conservatoire de Pékin en 1988 ; cours de composition et conférences, de 1988 à 1998.","Grand prix national de la ville de Paris, 1991. Prix de la Nouvelle Académie du disque, 1991. Grand-prix du disque, Académie Charles Cros, 1995.",,XX,"IVème République. Président : Vincent Auriol, janvier 1947-janvier 1954",Ministère de l’Éducation nationale. Secrétaire d’État aux Beaux-Arts : André Cornu. Direction générale des arts et lettres : Jacques Jaujard. Direction des arts plastiques. Enseignement et production : Marcel Mortreux,Adolphe Boschot (1937-1955).,"Jacques Ibert 2, (1944-1961). Villa Médicis.",,"Il compose : But, ballet pour l’opéra de Paris, 1963. | Jusqu’à mon dernier souffle, œuvre commandée pour le Centenaire de la statue de la Liberté, New-York en 1966 ainsi que des œuvres pour orchestre et voix, des œuvres sacrées, Trois visions de l’Apocalypse, et de la musique de chambre.","Biographie Centre de documentation de la musique contemporaine, 2004. | Chamfray, Claude, «Jacques Casterède, 1926», Le Guide du concert, du 20 novembre 1953. | Site Internet officiel de Jacques Casterède (Liste chronologique des œuvres)."
248,Pierre-Jules Cavelier,Q3188478,1814,30 August 1814,30 août 1814,Paris,1894,28 January 1894,28 janvier 1894,Paris,CAVELIER,Pierre-Jules,male,"Adrien-Louis-Marie, peintre-dessinateur, décorateur sous le Premier Empire.",Marie-Sophie Beauvisage,,sculpture,"École royale et spéciale des beaux-arts de Paris, 2 avril 1831","Pierre-Jean David d’Angers, Paul Delaroche",1842,1842,"""Diomède enlevant le Palladium""",1843,20 janvier 1843. Pension à dater du 1er janvier 1843,Voir Envois,1847,31 décembre 1847,"1844, 1ère année | Copie en marbre. Amour et Psyché du Capitole. | 1845, 2ème année. | Romain recueillant sur le char dont il fait descendre sa famille et les Vestales emportant de Rome prise par les Gaulois les objets de leur culte. | Tête idéale de la Tragédie. | 1846, 3ème année. | Tobie, statue en plâtre. | La Mort arrêtant les hommes de talent sur le seuil de la gloire et de l’immortalité. | Tête de Dante. | 1847, 4ème année. | Antigone donnant une sépulture à Polynice. Esquisse. Buste de femme. | 1848, 5ème année. | Deux figures en marbre : Pénélope. La Vérité.","Vice-président de la Société des artistes français. Président en 1881, 1883, 1885, 1889. Membre du jury de la Société des artistes français de 1864 à 1867. Sociétaire de la Fondation Taylor.","Professeur de sculpture à l’École royale et spéciale des beaux-arts de Paris, du 1er janvier 1866 au 1er avril 1894. Il remplace Jean-Baptiste Guillaume, et il est remplacé par Louis-Ernest Barrias. Membre du Conseil supérieur de l’Enseignement des Beaux-arts en 1874. Membre du jury des beaux-arts de 1864 à 1867.","Médaille de troisième classe en 1842 et 1855. Grande médaille d’honneur, en 1849, 1853, 1861. Chevalier de la Légion d’honneur en 1853. Officier en 1861. Membre de l’Académie des Beaux-arts, élu le 29 juillet 1865, 2ème section, fauteuil VIII. Vice-président en1873, président en 1874.",,XIX,"Monarchie de Juillet : Louis-Philippe, 30 juillet 1830-24 février 1848",Ministère de l’intérieur. Division des Beaux-arts : Cavé. Premier bureau : Mercey,Désiré Raoul-Rochette (1839-1854),"Jean-Victor Schnetz (Premier Directorat), (1841-1846). Villa Médicis.","Il participe aux Salons de 1852, 1853, 1855, 1857, 1859, 1861, 1863, 1869, 1873, 1879, 1883.",,"Bénézit, Lami. Archives du Salon des artistes français. | Marchand, José, Pierre-Jules Cavelier. Souvenirs de Germaine Pajot-Villerelle, Paris, 1979. | Delaborde, H., Barrias, L.E., Bonnat, L., Daumet, H., Bouguereau, W., Funérailles de M. Cavelier, Paris : impr. de F. Didot et Cie, 1894. | Portes, Élisabeth, P-J. Cavelier, sculpteur. Maîtrise d’histoire de l’art, Université Paris I, 2001.(Bibliothèque Musée d’Orsay)."
249,Pierre-Jacques Cazes,Q3089097,1675,November 1675,Novembre 1675,Paris,1754,25 June 1754,25 juin 1754,Paris,CAZES ou Caze (Note 1),Pierre-Jacques,male,Tailleur,,"Pierre-Jacques a 2 fils, Jacques-Nicolas et Pierre-Michel, peintres à l’Académie de Saint-Luc.",peinture,Académie royale de peinture et de sculpture en 1693. Prix de quartier en avril 1693 (1eM).,"René-Antoine Houasse père, Bon Boullongne.",1699,29 août 1699 1er prix.,Vision de Jacob en Égypte en allant retrouver son fils Joseph.,,Présence non attestée à l’Académie de France à Rome.,«Ce mérite naissant le fit nommer pensionnaire du Roi pour aller à Rome ; un changement de ministère en décida autrement et lui fit manquer cette occasion qui ne se retrouva plus»(Note 2).,,,,Agréé le 30 décembre 1702. Académicien (28 juillet 1703. morceau de réception : Hercule et Acheloüs).,"Adjoint à professeur (1715), professeur (1718) (Note 3), adjoint-recteur (1737), recteur (1743). Directeur de l’Académie royale (28 mars 1744-23 juin 1747). Chancelier (1746).",,"1) ou Caze (liste de Baltard) | 2) Dargenville, IV, 397-403. | 3) Il a été le maître de Chardin en 1718.",XVII,Louis XIV (1661-1715),Jules-Hardouin Mansart (1699-1708),,"René-Antoine Houasse, (1699-1704). Palais Capranica.","Salons de 1704, 1737, 1747, 1748","Il travaille à Potsdam, au château de Sans-Souci.","PV. III, 356. Jal (notice, 336) ; Herluison, 68. Roman d’Amat. Sanchez, 327-328. Dargenville IV, 397-403. Abecedario I, 345. Blanc, Charles, 1865, III, 20-21. AKL, 1997. | «Les peintres du Roi 1648-1793» Catalogue Tours 2000 (R 163). | Bonnet, P., « Un tableau inédit de P.J. Cazes découvert à Batz-sur-mer », Revue de l’Art, n°121, 1998-3, p.79-81."
250,Monic Cecconi-Botella,Q529239,1936,30 September 1936,30 septembre 1936,Courbevoie (Hauts de Seine),,,,,CECCONI - BOTELLA,Monique (ou Monic),female,Ludovic,Raymonde Huot,,composition musicale,"Elle commence des études dentaires, puis se consacre uniquement à la musique. Élève d’Yvonne Lefebure (piano) et de Pierre Lantier (analyse musicale) à l’École normale de musique. Conservatoire national de musique d’Amiens. Conservatoire national supérieur de musique de Paris.","Professeurs : Maurice Duruflé (harmonie) 2ème prix en 1960 ; de Madame S. Plé-Caussade (fugue et contrepoint). 1er prix en 1962 ; de Jean Rivier, (composition), 2ème prix en 1966.",1966,1966,"""La muse qui est la grâce""",1967,Le 24 janvier 1967. Pension à dater du 1er janvier 1967,,1970,30 avril 1970,,"Elle organise des concerts de musique contemporaine avec l’ensemble L’itinéraire, 1973-1975. Elle compose de la musique concrète, des œuvres instrumentales (ondes Martenot). Elle dirige le Festival ""Les saisons de la voix"" à Gordes en 2008.",Professeur de composition et d’analyse au Conservatoire de Paris.,,,XX,"Vème République. Président : Charles de Gaulle, décembre 1958-juin 1969",Ministère des affaires culturelles : André Malraux. Services des enseignements artistiques. Bureau EA2 : Jean de Saint-Jorre.,Emmanuel Bondeville (1964-1980),"Klossowski de Rola dit Balthus, (1961-1968). Villa Médicis.",,"; Castafioritures, 1976 ; Il signait Vincent, opéra-passion, 1987. Film : Naissance d’un opéra, Argile, 1991.","Grove. Archives de la Villa Médicis. | Clostre, Adrienne, «Musique en France, Musik in Franckreich,,ClingKlong, n°42, printemps Berne, 1998."
251,Louis-Félix Chabaud,Q3260530,1824,14 March 1824,14 mars 1824,Venelles (Bouches du Rhône),1902,25 April 1902,25 avril 1902,Venelles (Bouches du Rhône),CHABAUD,Louis-Félix ou Félix-Louis,male,"Antoine-Hilaire, propriétaire terrien",Henriette-Sophie Hodoul,,gravure en médailles et en pierres fines,"Apprentissage de boulanger, puis de marbrier.École des beaux-arts d’Aix-en-Provence, 1842. | École royale et spéciale des beaux-arts de Paris, 2 octobre 1844.","James Pradier, Raymond Gayrard.",1848,1848,"""Mercure forgeant le caducée""",1849,17 janvier 1849. Pension à dater du 1er janvier 1849 pour trois ans seulement (Note 1).,Voir Envois,1852,31 décembre 1852,"1849, 2ème année | Cérès guérissant Triptolème. Médaillon en cire. | Pâris. Camée. | Tête symbolique de la ville de Rome. En creux. | La Force. | 1850, 3ème année. | Médaille d’après la Danaïde du Musée du Vatican. | La Force. tête gravée en pierre fine. | Omphale coiffée de la tête du Lion de Némée. | Voyage guidé par l’Amour. Médaillon en cire. | 1851, 4ème année. | L’Agriculture, heureuse d’avoir la Paix, repousse la guerre. Médaillon en cire et coin. | Caenace. Figure demi-nature en marbre.",| Il collabore avec Charles Garnier à l’Opéra de Paris en 1869 ainsi qu’à l’Opéra de Monte-Carlo en 1878. Il fait une statue pour la cour du Louvre et pour le Palais de justice de Marseille. | Il s’arrête 10 ans et reprend en 1879 et en 1886 (Sculptures et bas-reliefs ; 12 camées de pierres fines).,"Professeur. Deux premiers grands prix sont issus de son atelier : Charles Degeorge, Premier grand prix en 1866 et Jean Lagrange, en 1868.","Médaille de troisième classe au Salon de 1853. Rappel de médaille en 1857, 1859, 1863. Maire de Venelles de 1865 à 1870.","1) Voir la note du concours en 1847 : «En 1847, il n’y a pas eu de concours définitif», Guiffrey. Dates relevées dans le Livre des inscriptions de la Villa Médicis.",XIX,"IIème République. Louis Napoléon, 25 février 1848-2 décembre 1852","Ministère de l’intérieur. 5e Division, beaux-arts : Charles Blanc. Premier Bureau : Mercey",Désiré Raoul-Rochette (1839-1854),"Jean Alaux, (1847-1852). Villa Médicis.","Il expose au Salon des artistes français à partir de 1853 ; à l’Exposition Universelle de 1855 ; aux salons de 1857, 1859, 1861, 1863, 1864, 1869.","Allégorie de l’agriculture pour la fontaine de la Rotonde à Aix-en-Provence.Le Génie des Arts, pour le Palais des arts à Marseille.","Archives nationales, cote AJ 52 323. État-civil, mairie de Venelles. AJ 52 323. Archives du Salon des artistes français. | Camard J-P., Belfort Anne-Marie, Dictionnaire des peintres provençaux 1880-1950 , Marseille, Edition Bendor, 1974. | Alauzen di Genova, André, Dictionnaire de Peintres et sculpteurs de Provence-Alpes-Côte d’Azur , Marseille : Éditions Jeanne Lafitte 1986. | Lobin, M.C., «Le sculpteur Félix Chabaud de Venelles». Bulletin de l’Académie d’Aix, 1928-1929. (Envoi de Monsieur Dauge, maire de Venelles, janvier 1988). | Guillemain, Jean. «La Section de gravure en médailles à la Villa Médicis (1805-1970)», dans L’Académie de France à Rome aux XIXe et XXe siècles. Actes du colloque de 2002 à Rome Villa Médicis. Paris, Somogy 2002. | Articles dans la Revue des beaux-arts : | - Léo d’Amblève, «Travaux de l’Académie de France à Rome, 1852», p.332. | - Gelée, «Gravure en taille-douce et en médailles. 1852», p.332. | - Charles Place, «Envois II : peinture, architecture, gravure. 1850», p.323. | - Hercule, Robert, «Envois IV : gravure en médailles et pierres fines. 1851», p. 335-337. Héry, Jean-Marc, «Conférence sur Louis-Félix Chabaud», Venelles, patrimoine 13, 3 avril 2009."
252,Wilbrod Chabrol,Q1464802,1835,7 November 1835,7 novembre 1835,Paris,1919,2 August 1919,2 août 1919,Le Vésinet,CHABROL,François-Wilbrod,male,"Prosper, (1812-1875), architecte du Gouvernement. Membre fondateur de la Société centrale des architectes.",,"Un frère : Guillaume-Pierre, polytechnicien, professeur à l'Ecole des Ponts et chaussées. Une sœur, mariée à Léon Legouest.Epouse : Lucie Goûin, fille d'Ernest Goûin directeur de société. Ils ont 8 enfants.",architecture,"École impériale et spéciale des beaux-arts de Paris, promotion 23 novembre 1855.",Louis-Hippolyte Lebas,1862,1862,"""Un palais pour le gouverneur de l’Algérie destiné aussi à la résidence temporaire du souverain"".",1863,28 janvier 1863. Pension à dater du 1er janvier 1863.,Voyages en Italie,1867,31 décembre 1867,"1865, 2ème année | Amphithéâtre de Vérone. 2 dessins. | 1866, 3ème année. | Études comparatives sur le thème des ordres superposés : amphithéâtre de Vérone, amphithéatre de Pola et amphithéâtre Flavien à Rome. | 1867, 4ème année. | Restauration du Temple de Vénus à Pompei. Mémoire et 7 dessins.","Inspecteur des Grands travaux. Expert auprès des tribunaux. Premier inspecteur des travaux du Ministère de la guerre, 1868. Architecte-adjoint du Palais Royal, du Conseil d’État, des Gobelins, 1874. D.P.L.G. , S.A.D.G. 1887. Architecte des bâtiments civils et palais nationaux. Architecte diocésain de Tulle le 30 mars 1875.",,"Médaille de seconde classe à l’Exposition universelle de 1878. Chevalier de la Légion d’honneur, 1853. Officier, 1867.",,XIX,"Second Empire : Napoléon III, 2 décembre 1852-4 septembre 1870","Ministre d’État des beaux-arts : Courmont, chef de division, Bureau des beaux-arts : Tournois",Charles-Ernest Beulé (1862-1874).,"Jean-Victor Schnetz, (2ème directorat) (1853-1866). Villa Médicis",Il participe au Salon des artistes français. Salon en 1878.,Il construit des habitations HBM à Paris à partir de la première loi en 1894. Il conçoit un dispensaire-hôpital chirurgical pour la Société philanthropique de Paris et la Société de construction des Batignolles en 1896.,"S.A.D.G., AJ 52 358., F 19 7230. Bellier de la Chavignerie, Joseph, Delaire. | Martinon, Jean-Pierre, Éducations et carrières d’architectes . Grands prix de Rome, École d’architecture de Paris-Conflans, 1989. | Pinon, Pierre, Amprimoz, François-Xavier, Les envois de Rome (1778-1968). Architecture et archéologie. Collection de l’école française de Rome, 110, Palais Farnese, 1988. | Léniaud, Jean-Michel Dictionnaire des architectes diocésains. Édition en ligne, Paris : École des Chartes, 2010."
253,Jean Chalgrin,Q525487,1739,20 October 1739,20 octobre 1739,Paris (paroisse Saint-Sulpice),1811,21 January 1811,21 janvier 1811 .,Paris,CHALGRIN,Jean-François-Thérèse,male,"François, (v.1720-1770) bourgeois de Paris",Marie-Henriette Estoff,"Un frère, Louis-Antoine, avocat au Parlement. | Jean-François Chalgrin épouse en 1776 Marie-Émilie-Pulchérie, fille de Joseph Vernet. Il se remarie avec Marie-Louise Gravel.",architecture,Académie royale d’architectureEntre en 1755 dans l’atelier d’Étienne-Louis Boullée,Premier maître : Servandoni.Louis-Adam Loriot.,1758,"29 août 1758 1er prix. (enregistré dans la liste Guiffrey avec Mathurin Cherpitel, prix réservé de 1757). Brevet du 25 août 1759.","Un pavillon sur le bord d’une rivière, à l’angle d’une terrasse, couvert à l’italienne et en terrasse.",1759,Novembre 1759.,Il lève en plan et en élévation des édifices de l’Antiquité.,1762,Date de départ de l’Académie en novembre 1762 mais il obtient une chambre et prolonge son séjour jusqu’en mai 1763.,,"Académicien (2ème classe : 7 mai 1770. 1ère classe : 1771). Inspecteur des travaux de la ville de Paris. Premier architecte et intendant des Bâtiments de Monsieur Comte de Provence (1771). Architecte de Louis XVI. Chalgrin construit l’église Saint-Philippe-du-Roule (1774-1784), restaure la façade de l’église Saint-Sulpice (1777), réaménage le Luxembourg pour installer le Directoire (1799-1805). Il est membre du conseil des Bâtiments civils (1795-1811). Il est chargé par Napoléon 1er, de construire un monument à la gloire de la Grande Armée autrement dit, l’Arc-de-triomphe de l’Étoile (1806-1811). Il a, également, une clientèle privée considérable (ministres, financiers, membres de l’aristocratie, etc.).",,Élu le 24 janvier 1799 membre de l’Institut (classe de Littérature et des Beaux-arts au Fauteuil II -3ème section). Nommé par arrêté du 28 janvier 1803 membre de la classe des Beaux-arts (section architecture).,Quatremère de Quincy écrit dans sa notice «né de parents pauvres»,XVIII,Louis XV (1743-1774),Marquis de Marigny (1751-1774),,"Charles Natoire, (1751-1775). Palais Mancini.",Salons de 1799 et 1800,Arc-de-triomphe de l’Étoile (1806-1811),"PV. VI, 332. Corr. XI 318. Lance, 127-130. Bauchal, 621-622. Gallet, 110-116. Index Pérouse de Montclos. Sanchez, 334. | Viel, Charles-François, Notice nécrologique sur J.F.T. Chalgrin, architecte, lue à la Société d’architecture le 26 novembre 1813, Paris, mai 1814. | Quatremère de Quincy, A.C., Recueil de notices historiques, Paris, Le Clère, 1834, 1-22. | Le Comte de Franqueville, Le premier siècle de l’Institut de France, 23 octobre 1795-24 octobre 1895; Paris : Rotschild, 1895-1896. | Pinon, Pierre, Amprimoz, François-Xavier, Les envois de Rome (1778-1968). Architecture et archéologie. Collection de l’école française de Rome, 110, Palais Farnese, 1988. | Szambien,Werner, «Les architectes parisiens à l’époque révolutionnaire», Revue de l’Art, année 1989, vol. 83, n°83, 36-50."
254,René Challan,Q2144566,1910,1910,12 écembre 1910,Asnières (Hauts de Seine),1978,4 August 1978,4 août 1978,Nevers (Nièvre),CHALLAN,René,male,"Émile, mort à la guerre en 1914.",Hélène Régnault,"Frère jumeau d’Henri Challan (1910-1977), Premier second grand prix de composition musicale en 1936.René Challan épouse la fille du préfet Armand Ziwès. Il est le père de la harpiste Annie Challan.",composition musicale,Conservatoire national de musique de Paris.,"Jean et de Noël Gallon, Henri Busser.",1935,1935,"""Cantate Le Château endormi. Plusieurs concertos"".",1936,Le 25 janvier 1936. Pension à dater du 1er janvier 1936,Voir Envois,1939,30 avril 1939,"1937, 2ème année | Symphonie pour grand orchestre en quatre parties. | 1938, 3ème année. | Sylvio, drame lyrique en 5 actes.","Directeur artistique des disques Pathé-Marconi, 1949-1975 et Chef d’orchestre au Conservatoire.",,Chevalier de la Légion d'honneur en 1952.,,XX,"IIIème République. Président : Albert Lebrun, 3 juin 1932-15 juin 1940","Ministère de l’Éducation nationale. Direction générale des Beaux-Arts : Georges Huisman. Premier bureau, Enseignement Léon Lamblin.",Charles-Marie Widor (1915-1937),"Paul Landowski, (1933-1937). Villa Médicis.",,"Opéra bouffe, Jorgen de Danemark, 1960 ; Trois symphonies","Site ""Musica et memoria"", Denis Havard de la Montagne."
255,Charles-Michel-Ange Challe,Q2958256,1716,18 August 1716,18 août 1716 (Note 1),Paris,1778,8 January 1778,8 janvier 1778,Paris,"CHALLES ou Challe ou Chales, l’aîné","Charles-Michel-Ange,",male,Artisan parisien,,"Famille d'artisans parisiens.Michel-Ange épouse le 28 août 1763 Madeleine-Sophie, fille de Jean-Marc Nattier.",peinture,"Académie royale de peinture et de sculpture en 1740. Prix de quartier : 1741 (3M), 1742 (1M).",François Boucher. François Le Moyne.,1741,1741 1er prix. Brevet du 5 mai 1742.,"""Guérison de Tobie ; moment où l’ange disparaît""",1742,Fin 1742,"Il copie La rencontre de Saint Léon et d’Attila d’après Raphaël et reste 6 ans à Rome. Il visite Herculanum. Il appartient à la première génération qui a découvert l’apport des fouilles récentes, la mise en place des collections au musée du Capitole et le renouveau archéologique (Note 2). Il fréquente le cercle de Piranese. Il travaille avec le peintre Louis-Joseph Le Lorrain et els architectes Ennemond-Alexandre Petitot et Charles-Louis Clérisseau.",1749,Octobre 1749,,Agréé le 30 octobre 1751. Académicien (26 mai 1753 -morceau de réception : L’Union des arts de Peinture et de Sculpture par le Dessin sous la protection de Louis XV). Dessinateur du cabinet du Roi. Réputation internationale (il fréquente les cours de Berlin et de Russie).,Professeur de perspective en 1758.,"Annobli en novembre 1770, Chevalier de l’Ordre de Saint-Michel en 1773. Écuyer. Académie des Arcades (chevalier -1743-1749).","1) La date de naissance a été enregistrée d'après une ""copie de l'acte de baptême de Challe délivrée par le curé de Saint-Roch le 26 décembre 1778 pour être annexée à un acte de notoriété rédigé quelques jours après la mort de l'artiste 'Min.cent.LVIII/490) né le 18 août 1716"", information communiquée par Romain Contamine. | 2) Cf. le catalogue ""La fascination de l'antique"", Paris, 1998. | 3)Diderot : salons de 1759 (97), 1761 (147), 1763 (193), 1765 (295).",XVIII,Louis XV / Cardinal Fleury (1726-1743),"Philibert Orry, Comte de Vignory (1736-1745)",,"Jean-François De Troy, (1738-1751). Palais Mancini.","Salons de 1753, 1755, 1757, 1759, 1761, 1763, 1765. | (Note 3).","""Le Christ et le centurion"", 1758. Eglise Saint-Roch à Paris","PV. V, 304. Corr. IX, 485-486. Sanchez, 334-336. | «Les peintres du Roi 1648-1793», Catalogue Tours 2000, R 296. | de Chennevières, H., « M.A.Chales, dessinateur du Cabinet du roi », GBA, 1882, 505-523. | Piranese et les Français, Actes du colloque 1976, Villa Médicis, Rome, Ed.dell’Elefante, 1978. | de Grandmaison, L., Essai d’armorial des artistes français XVI-XVIIIe siècles, Paris, lib.H.Champion, 1904. | Condamine, Romain, ""Charles-Michel-Ange Challe et les Menus-Plaisirs, le décor des pompes funèbres royales et princières"", Master II, vol. II, p.2, Paris-Sorbonne, 2012 (inédit). |"
256,Simon Challe,Q3484233,1719,September 1719,Septembre 1719,Paris,1765,14 October 1765,14 octobre 1765,Paris,"CHALLES, le jeune",Simon,male,Artisan parisien,,"Famille d'artisans parisiens. Un frère, Michel-Ange (1718-1778), 1er prix de peinture en 1741.",sculpture,Académie royale de peinture et de sculpture.,,1743,"1743 1er prix. | En raison de la faiblesse des candidats, ils ne sont que 2 à être admis à concourir en sculpture (Simon Challes et Nicolas-François Gillet).","""David se résigne à la volonté du Seigneur qui a frappé son royaume de la peste.""",1744,21 décembre 1744,"Simon Challes sculpte pour le roi en 1747 un médaillon en marbre blanc représentant un buste d’homme tenant une guirlande de fleurs. C’est la copie d’un bas relief antique représentant Antinoüs, découvert en 1735 dans la villa d’Hadrien et acheté par le cardinal Albani. Il participe avec son frère aîné, Michel-Ange, au Carnaval de 1748 sur le thème de La caravane du sultan à la Mecque. Il fréquente avec son frère le cercle de Pirasese.",1752,20 mars 1752.,,Agréé le 29 novembre 1754. Académicien le 29 mai 1756 (morceau de réception : Naïade debout appuyée sur une urne). Sculpteur ordinaire du roi.,,,,XVIII,Louis XV / Cardinal Fleury (1726-1743),"Philibert Orry, Comte de Vignory (1736-1745)",,"Jean-François De Troy, (1738-1751). Palais Mancini.","Salons de 1755, 1757, 1759, 1761, 1763, 1765.",Il réalise la chaire de l’église Saint-Roch à Paris,"Lami, II, p.173. Sanchez, 336-337. | Acte de décès à Saint-Germain-l’Auxerrois, Mémoires de la société de l’histoire de Paris et de l’Ile de France, tome XXXIII, 13. Paris, H.Champion, 1906. | L’Antiquité rêvée, innovations et résistances au XVIIIe siècle, ss. dir. G. Faroult, Ch. Léribault, G. Scherf. Paris, Musée du Louvre, 2 décembre 2010 - 14 février 2011.Gallimard, 2010."
257,Louis-Léopold Chambard,Q9024446,1811,25 August 1811,25 août 1811,Saint-Amour (Jura),1895,10 March 1895,10 mars 1895,Neuilly-sur-Seine (Hauts de Seine),CHAMBARD,Louis-Léopold,male,"Louis-Joseph, marchand drapier",Marie-Françoise Coste.,,sculpture,"École royale et spéciale des beaux-arts de Paris, 31 mars 1836.","Pierre-Jean David d’Angers, Jean-Dominique Ingres",1837,1837,"""Marius sur les ruines de Carthage""",1838,30 janvier 1838. Pension à dater du 1er janvier 1838,Voir Envois,1842,31 décembre 1842,"1839, 1ère année | Statue de Zénon. Copie d’après l’antique, musée du Capitole. | 1840, 2ème année. | Alceste reconnu par Admète. Bas-relief à 3 figures. Buste.Figure. Plâtre. | 1841, 3ème année. | Bacchus. | 1842, 4ème année. | La tête du Christ. Marbre. Apollon et Coronis. Esquisse. | 1843, 5ème année. | Oreste poursuivi par les Furies.",Il travaille à la Chapelle Royale de Dreux.,,Troisième médaille 1836. Seconde médaille 1837. Médaille de seconde classe au Salon de 1842.,,XIX,"Monarchie de Juillet : Louis-Philippe, 30 juillet 1830-24 février 1848",Ministère de l’intérieur. Division des Beaux-arts : Cavé. Premier Bureau : Dumont,Quatremère de Quincy (1816-1839),"Jean-Dominique Ingres, (1835-1840). Villa Médicis.",Salons de 1841 à 1894,,"Archives de Saint-Amour, acte de naissance, n°23. AJ52 323, 234. Bénézit. | Lavallée, M.-H., Vigne, G., de Lestalle, L., Les élèves d’Ingres. Montauban. 1999-2001. | Lenormand, Antoinette, La tradition classique et l’esprit romantique. Académie de France à Rome, 1981."
